# time[sec] ratio
3.950000000000000178e-01 7.399788374006953384e-02
1.395000000000000018e+00 7.507096315284422783e-02
2.395000000000000018e+00 7.418165717984927243e-02
3.395000000000000018e+00 7.399662946570666200e-02
4.394999999999999574e+00 7.487267972807132299e-02
5.394999999999999574e+00 7.380038900882956998e-02
6.394999999999999574e+00 7.455818116242102223e-02
7.394999999999999574e+00 7.432768625358500414e-02
8.394999999999999574e+00 7.357312613954913871e-02
9.394999999999999574e+00 7.520079385164564478e-02
1.039499999999999957e+01 7.407812354606724270e-02
1.139499999999999957e+01 7.390636099879831222e-02
1.239499999999999957e+01 7.513949512887324600e-02
1.339499999999999957e+01 7.388816420550912978e-02
1.439499999999999957e+01 7.440921233842733018e-02
1.539499999999999957e+01 7.475299865106274644e-02
1.639499999999999957e+01 7.395384090901567509e-02
1.739499999999999957e+01 7.516007240070547712e-02
1.839499999999999957e+01 7.447886876915497945e-02
1.939499999999999957e+01 7.390371719731769762e-02
2.039499999999999957e+01 7.514209553432862898e-02
2.139499999999999957e+01 7.412038392818949550e-02
2.239499999999999957e+01 7.443443825361636956e-02
2.339499999999999957e+01 7.481110880856285672e-02
2.439499999999999957e+01 7.390551725272735684e-02
2.539499999999999957e+01 7.523329969860646782e-02
2.639499999999999957e+01 7.438440424617216717e-02
2.739499999999999957e+01 7.389223144879254745e-02
2.839499999999999957e+01 7.552087653923622579e-02
2.939499999999999957e+01 7.405275492793168823e-02
3.039499999999999957e+01 7.442056006434159821e-02
3.139499999999999957e+01 7.536478688197435771e-02
3.239500000000000313e+01 7.427143104389385964e-02
3.339500000000000313e+01 7.524904724658423860e-02
3.439500000000000313e+01 7.506315733489342390e-02
3.539600000000000080e+01 7.433579513553201235e-02
3.639500000000000313e+01 7.540705303898606604e-02
3.739500000000000313e+01 7.468498134452218606e-02
3.839500000000000313e+01 7.460484545804720036e-02
3.939500000000000313e+01 7.530244782546575977e-02
4.039500000000000313e+01 7.450269687162890120e-02
4.139500000000000313e+01 7.533686148945702155e-02
4.239500000000000313e+01 7.494516142948638715e-02
4.339500000000000313e+01 7.434295233417842486e-02
4.439600000000000080e+01 7.590331464215800683e-02
4.539500000000000313e+01 7.463172245423274620e-02
4.639500000000000313e+01 7.449982426706101835e-02
4.739500000000000313e+01 7.582991990182584574e-02
4.839699999999999847e+01 7.471536261158748249e-02
4.939500000000000313e+01 7.532606129919179605e-02
5.039500000000000313e+01 7.552082122153380705e-02
5.139500000000000313e+01 7.473594090651163035e-02
5.239500000000000313e+01 7.582225552840217431e-02
5.339500000000000313e+01 7.524583155194528028e-02
5.439500000000000313e+01 7.493431841900376200e-02
5.539500000000000313e+01 7.591174639341873032e-02
5.639500000000000313e+01 7.495247431625941259e-02
5.739500000000000313e+01 7.539309842363225989e-02
5.839500000000000313e+01 7.550421016731399815e-02
5.939600000000000080e+01 7.464990678530154800e-02
6.039500000000000313e+01 7.609973391932857434e-02
6.139500000000000313e+01 7.517159066864156913e-02
6.239500000000000313e+01 7.482776736947491236e-02
6.339500000000000313e+01 7.640334458979919363e-02
6.439499999999999602e+01 7.505294059438598342e-02
6.539499999999999602e+01 7.543731730331443286e-02
6.639499999999999602e+01 7.611177220989757963e-02
6.740500000000000114e+01 7.505110253093308370e-02
6.839499999999999602e+01 7.610180257567231155e-02
6.939499999999999602e+01 7.576586739106841439e-02
7.039499999999999602e+01 7.515813534940851692e-02
7.139499999999999602e+01 7.632476837878271470e-02
7.239499999999999602e+01 7.547490134899513536e-02
7.339499999999999602e+01 7.554909338599127833e-02
7.439499999999999602e+01 7.610553381045183363e-02
7.539499999999999602e+01 7.520066698272057093e-02
7.639499999999999602e+01 7.631090911465475413e-02
7.739700000000000557e+01 7.569490220136662617e-02
7.839499999999999602e+01 7.510617839273782403e-02
7.939499999999999602e+01 7.673343906625025579e-02
8.039499999999999602e+01 7.552426183997945630e-02
8.139499999999999602e+01 7.561367100100521710e-02
8.239499999999999602e+01 7.663576201802500820e-02
8.339499999999999602e+01 7.547949895669812947e-02
8.439499999999999602e+01 7.627963514075583595e-02
8.539499999999999602e+01 7.629461184159740117e-02
8.639499999999999602e+01 7.554251709959974859e-02
8.739499999999999602e+01 7.679286506019464276e-02
8.839499999999999602e+01 7.606946398874249449e-02
8.939499999999999602e+01 7.578490228637119186e-02
9.039499999999999602e+01 7.664219622237516960e-02
9.139499999999999602e+01 7.570501122295204832e-02
9.239499999999999602e+01 7.643216638882273373e-02
9.339499999999999602e+01 7.631255270182023265e-02
9.439499999999999602e+01 7.548470718406702362e-02
9.539499999999999602e+01 7.704424711835994311e-02
9.639499999999999602e+01 7.603678383371242910e-02
9.739600000000000080e+01 7.581875898981860207e-02
9.839499999999999602e+01 7.725552099776503145e-02
9.939499999999999602e+01 7.592551015317068608e-02
1.003949999999999960e+02 7.643632924427629094e-02
1.013949999999999960e+02 7.694701826464180050e-02
1.023960000000000008e+02 7.599917077411949551e-02
1.033949999999999960e+02 7.712716247767739675e-02
1.043949999999999960e+02 7.665362474297780782e-02
1.053949999999999960e+02 7.607794983602239602e-02
1.063949999999999960e+02 7.717646268310264512e-02
1.073949999999999960e+02 7.630400658365972533e-02
1.083949999999999960e+02 7.661201321897963268e-02
1.093949999999999960e+02 7.697016763640555925e-02
1.103949999999999960e+02 7.605016699116143308e-02
1.113949999999999960e+02 7.729558380021636643e-02
1.123960000000000008e+02 7.649535910035624997e-02
1.133949999999999960e+02 7.603953595560790368e-02
1.143949999999999960e+02 7.767372482504969478e-02
1.153949999999999960e+02 7.638681448135137275e-02
1.163949999999999960e+02 7.655761767116009420e-02
1.173949999999999960e+02 7.744377130215561456e-02
1.183949999999999960e+02 7.643713140386593219e-02
1.193949999999999960e+02 7.734089246525238659e-02
1.203949999999999960e+02 7.717868920712037117e-02
1.213949999999999960e+02 7.646983139091276249e-02
1.223949999999999960e+02 7.770001314892954758e-02
1.233949999999999960e+02 7.690903713970780042e-02
1.243949999999999960e+02 7.673879674369434023e-02
1.253949999999999960e+02 7.748996193745802397e-02
1.263949999999999960e+02 7.663261528908843490e-02
1.273949999999999960e+02 7.748694224742574965e-02
1.283950000000000102e+02 7.711398566566948776e-02
1.293950000000000102e+02 7.634314365518701795e-02
1.303950000000000102e+02 7.795073539273100760e-02
1.313950000000000102e+02 7.686623179340541789e-02
1.323950000000000102e+02 7.671643479244429076e-02
1.333950000000000102e+02 7.804477647450690225e-02
1.343950000000000102e+02 7.684325294260946349e-02
1.353950000000000102e+02 7.742148887820912706e-02
1.363950000000000102e+02 7.763272101407416026e-02
1.373950000000000102e+02 7.679843231050671737e-02
1.383950000000000102e+02 7.805850001627137602e-02
1.393950000000000102e+02 7.748133694029299412e-02
1.403950000000000102e+02 7.697611054634860561e-02
1.413950000000000102e+02 7.804329142411597919e-02
1.423950000000000102e+02 7.715920486049666904e-02
1.433950000000000102e+02 7.752554852010014319e-02
1.444019999999999868e+02 7.764167103241642609e-02
1.453950000000000102e+02 7.678050989768520074e-02
1.463950000000000102e+02 7.820832134024918725e-02
1.473950000000000102e+02 7.734748742391245324e-02
1.483950000000000102e+02 7.693023310413237004e-02
1.493950000000000102e+02 7.855356551261115372e-02
1.503950000000000102e+02 7.720942210724393573e-02
1.513950000000000102e+02 7.745032725572698062e-02
1.523950000000000102e+02 7.818343748174969021e-02
1.533950000000000102e+02 7.719451837325490284e-02
1.543950000000000102e+02 7.820727327845533594e-02
1.553950000000000102e+02 7.793694105587474497e-02
1.563950000000000102e+02 7.723811435937277814e-02
1.573950000000000102e+02 7.844010024479733389e-02
1.583950000000000102e+02 7.757980654718679703e-02
1.593950000000000102e+02 7.751351853410616555e-02
1.603950000000000102e+02 7.820156693091470657e-02
1.613950000000000102e+02 7.730319762220665136e-02
